Rank,Name,Division,Beginning Year,Longevity,Origin,Wins,Losses,Draws,Birth Year,Starting Age,Total Bouts,Win %
1,Ray Robinson,middle,1940,25,"Harlem, New York, USA",174,19,6,1921,19,199,0.874371859
2,Jimmy McLarnin,welter,1923,13,"Glendale, California, USA",55,11,3,1907,16,69,0.797101449
3,Floyd Mayweather Jr,welter,1996,21,"Las Vegas, Nevada, USA",50,0,0,1977,19,50,1
4,Harry Greb,middle,1913,13,"Pittsburgh, Pennsylvania, USA",265,19,17,1894,19,301,0.880398671
5,Carlos Monzon,middle,1963,14,"Santa Fe, Santa Fe, Argentina",87,3,9,1942,21,99,0.878787879
6,Henry Armstrong,welter,1931,14,"Los Angeles, California, USA",149,21,10,1912,19,180,0.827777778
7,Benny Leonard,light,1911,21,"New York, New York, USA",186,20,10,1896,15,216,0.861111111
8,Marvin Hagler,middle,1973,14,"Brockton, Massachusetts, USA",62,3,2,1954,19,67,0.925373134
9,Joe Louis,heavy,1934,17,"Detroit, Michigan, USA",66,3,0,1914,20,69,0.956521739
10,Muhammad Ali,heavy,1960,21,"Louisville, Kentucky, USA",56,5,0,1942,18,61,0.918032787
11,Jose Napoles,welter,1958,17,"Ciudad Juarez, Chihuahua, Mexico",81,7,0,1940,18,88,0.920454545
12,Roberto Duran,light,1968,33,"Panama City, Panama",103,16,0,1951,17,119,0.865546218
13,Julio Cesar Chavez,super light,1980,25,"Tijuana, Baja California, Mexico",107,6,2,1962,18,115,0.930434783
14,Saul Alvarez*,super middle,2005,19,"Guadalajara, Jalisco, Mexico",62,2,2,1990,15,66,0.939393939
15,Mike Gibbons,middle,1907,15,"Saint Paul, Minnesota, USA",112,10,11,1887,20,133,0.842105263
16,Archie Moore,light heavy,1935,28,"San Diego, California, USA",186,23,10,1913,22,219,0.849315068
17,Oscar De La Hoya,welter,1992,16,"Los Angeles, California, USA",39,6,0,1973,19,45,0.866666667
18,Alexis Arguello,super feather,1968,27,"Managua, Nicaragua",77,8,0,1952,16,85,0.905882353
19,Manny Pacquiao,welter,1995,26,"General Santos City, Cotabato del Sur, Philippines",62,8,2,1978,17,72,0.861111111
20,Gene Tunney,heavy,1915,13,"Greenwich, Connecticut, USA",80,1,3,1897,18,84,0.952380952
21,Roy Jones Jr,light heavy,1989,34,"Pensacola, Florida, USA",66,10,0,1969,20,76,0.868421053
22,Ezzard Charles,heavy,1940,19,"Cincinnati, Ohio, USA",95,25,1,1921,19,121,0.785123967
23,Carlos Ortiz,light,1955,17,"New York, New York, USA",61,7,1,1936,19,69,0.884057971
24,Bernard Hopkins,middle,1988,28,"Hockessin, Delaware, USA",55,8,2,1965,23,65,0.846153846
25,Young Corbett III,welter,1919,21,"Fresno, California, USA",124,12,20,1905,14,156,0.794871795
26,Jackie Fields,welter,1925,8,"Los Angeles, California, USA",74,9,2,1908,17,85,0.870588235
27,Ted Kid Lewis,welter,1909,20,"St George's, London, United Kingdom",231,47,22,1894,15,300,0.77
28,Luis Rodriguez,welter,1956,16,"Miami, Florida, USA",107,13,0,1937,19,120,0.891666667
29,Tony Canzoneri,light,1925,14,"New York, New York, USA",141,24,10,1908,17,175,0.805714286
30,Holman Williams,middle,1932,16,"Detroit, Michigan, USA",146,31,11,1915,17,188,0.776595745
31,Terence Crawford,super welter,2008,16,"Omaha, Nebraska, USA",41,0,0,1987,21,41,1
32,Duilio Loi,super light,1948,14,"Milan, Lombardia, Italy",115,3,8,1929,19,126,0.912698413
33,Barney Ross,welter,1929,9,"Chicago, Illinois, USA",74,4,3,1909,20,81,0.913580247
34,Charley Burley,middle,1936,14,"Pittsburgh, Pennsylvania, USA",83,12,2,1917,19,97,0.855670103
35,Lennox Lewis,heavy,1989,14,"West Ham, London, United Kingdom",41,2,1,1965,24,44,0.931818182
36,Mickey Walker,middle,1919,16,"Elizabeth, New Jersey, USA",128,26,8,1901,18,162,0.790123457
37,Jack Britton,welter,1904,26,"Clinton, New York, USA",239,60,45,1885,19,344,0.694767442
38,Ike Williams,light,1940,15,"Trenton, New Jersey, USA",128,24,5,1923,17,157,0.815286624
39,Ray Leonard,welter,1977,20,"Palmer Park, Maryland, USA",36,3,1,1956,21,40,0.9
40,Mike McCallum,super welter,1981,16,"New York, New York, USA",49,5,1,1956,25,55,0.890909091
41,Gennadiy Golovkin,middle,2006,16,"Los Angeles, California, USA",42,2,1,1982,24,45,0.933333333
42,Naoya Inoue*,super bantam,2012,13,"Yokohama, Kanagawa, Japan",29,0,0,1993,19,29,1
43,Nicolino Locche,super light,1958,18,"Buenos Aires, Distrito Federal, Argentina",117,4,14,1939,19,135,0.866666667
44,Thomas Hearns,super welter,1977,29,"Detroit, Michigan, USA",61,5,1,1958,19,67,0.910447761
45,Marcel Thil,middle,1922,15,"Cannes, Alpes-Maritimes, France",106,20,10,1904,18,136,0.779411765
46,Dave Shade,welter,1918,17,"Concord, California, USA",155,30,62,1902,16,247,0.627530364
47,Joe Calzaghe,super middle,1993,15,"Newbridge, Wales, United Kingdom",46,0,0,1972,21,46,1
48,Emile Griffith,middle,1958,19,"New York, New York, USA",85,24,2,1938,20,111,0.765765766
49,Charles Humez,middle,1948,10,"Mericourt, Pas-de-Calais, France",94,7,1,1928,20,102,0.921568627
50,Felix Trinidad,welter,1990,18,"San Juan, Puerto Rico",42,3,0,1973,17,45,0.933333333
51,Antonio Cervantes,super light,1964,19,"San Basilio de Palenque, Colombia",67,12,1,1945,19,80,0.8375
52,Floyd Patterson,heavy,1952,20,"Brooklyn, New York, USA",55,8,1,1935,17,64,0.859375
53,Pernell Whitaker,welter,1984,17,"Norfolk, Virginia, USA",40,4,1,1964,20,45,0.888888889
54,Lew Tendler,light,1913,15,"Philadelphia, Pennsylvania, USA",146,16,9,1898,15,171,0.85380117
55,Rocky Kansas,light,1911,21,"Buffalo, New York, USA",122,27,16,1893,18,165,0.739393939
56,Andre Ward,super middle,2004,13,"Oakland, California, USA",32,0,0,1984,20,32,1
57,Rocky Marciano,heavy,1947,8,"Brockton, Massachusetts, USA",49,0,0,1923,24,49,1
58,Gustav Scholz,middle,1948,16,"Berlin, Germany",88,2,6,1930,18,96,0.916666667
59,Jack Carroll,welter,1923,15,"Melbourne, Victoria, Australia",84,10,4,1906,17,98,0.857142857
60,Randolph Turpin,middle,1946,18,"Leamington Spa, Warwickshire, United Kingdom",66,8,1,1928,18,75,0.88
61,Ismael Laguna,light,1960,11,"Colon City, Panama",65,9,1,1943,17,75,0.866666667
62,Tommy Gibbons,light heavy,1911,14,"Saint Paul, Minnesota, USA",97,5,3,1891,20,105,0.923809524
