Rank,Name,Division,Beginning Year,Longevity,Origin,Wins,Losses,Draws
1,Ray Robinson,middle,1940,25,"Harlem, New York, USA",174,19,6
2,Jimmy McLarnin,welter,1923,13,"Glendale, California, USA",55,11,3
3,Floyd Mayweather Jr,welter,1996,21,"Las Vegas, Nevada, USA",50,0,0
5,Carlos Monzon,middle,1963,14,"Santa Fe, Santa Fe, Argentina",87,3,9
6,Henry Armstrong,welter,1931,14,"Los Angeles, California, USA",149,21,10
7,Benny Leonard,light,1911,21,"New York, New York, USA",186,20,10
8,Marvin Hagler,middle,1973,14,"Brockton, Massachusetts, USA",62,3,2
9,Joe Louis,heavy,1934,17,"Detroit, Michigan, USA",66,3,0
10,Muhammad Ali,heavy,1960,21,"Louisville, Kentucky, USA",56,5,0
11,Jose Napoles,welter,1958,17,"Ciudad Juarez, Chihuahua, Mexico",81,7,0
12,Roberto Duran,light,1968,33,"Panama City, Panama",103,16,0
13,Julio Cesar Chavez,super light,1980,25,"Tijuana, Baja California, Mexico",107,6,2
14,Saul Alvarez*,super middle,2005,19,"Guadalajara, Jalisco, Mexico",62,2,2
15,Mike Gibbons,middle,1907,15,"Saint Paul, Minnesota, USA",112,10,11
16,Archie Moore,light heavy,1935,28,"San Diego, California, USA",186,23,10
17,Oscar De La Hoya,welter,1992,16,"Los Angeles, California, USA",39,6,0
18,Alexis Arguello,super feather,1968,27,"Managua, Nicaragua",77,8,0
19,Manny Pacquiao,welter,1995,26,"General Santos City, Cotabato del Sur, Philippines",62,8,2
20,Gene Tunney,heavy,1915,13,"Greenwich, Connecticut, USA",80,1,3
21,Roy Jones Jr,light heavy,1989,34,"Pensacola, Florida, USA",66,10,0
22,Ezzard Charles,heavy,1940,19,"Cincinnati, Ohio, USA",95,25,1
23,Carlos Ortiz,light,1955,17,"New York, New York, USA",61,7,1
24,Bernard Hopkins,middle,1988,28,"Hockessin, Delaware, USA",55,8,2
